source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Astrocytes,Endothelial,TGFB2,TGFbR1_R2,0.003308630595346613,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Endothelial,TGFB2,TGFbR1_R2,2.694495305304497e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Microglia,Monocytes,TGFB1,ACVR1B_TGFbR2,0.008191114350802975,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocytes,Monocytes,TGFB1,ACVR1B_TGFbR2,0.008420928041298523,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
NKTcells,Monocytes,TGFB1,ACVR1B_TGFbR2,0.013114601904406688,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Monocytes,TGFB1,ACVR1B_TGFbR2,0.0011284408417539303,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Bcells,Monocytes,TGFB1,ACVR1B_TGFbR2,0.007831241684526116,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Microglia,Endothelial,TGFB1,ACVR1B_TGFbR2,0.0052632091045720945,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocytes,Endothelial,TGFB1,ACVR1B_TGFbR2,0.0054104013113461386,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
NKTcells,Endothelial,TGFB1,ACVR1B_TGFbR2,0.008430983227588144,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Endothelial,TGFB1,ACVR1B_TGFbR2,7.245336862752816e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Bcells,Endothelial,TGFB1,ACVR1B_TGFbR2,0.005031626623259419,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Astrocytes,Monocytes,TGFB2,ACVR1B_TGFbR2,0.005064839447370336,0,TGFB2_ACVR1B_TGFBR2,TGFB2 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Monocytes,TGFB2,ACVR1B_TGFbR2,4.126559802212028e-4,0,TGFB2_ACVR1B_TGFBR2,TGFB2 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Astrocytes,Endothelial,TGFB2,ACVR1B_TGFbR2,0.0032533122127627527,0,TGFB2_ACVR1B_TGFBR2,TGFB2 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Endothelial,TGFB2,ACVR1B_TGFbR2,2.649271366455328e-4,0,TGFB2_ACVR1B_TGFBR2,TGFB2 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Microglia,Monocytes,TGFB1,ACVR1_TGFbR,0.008397410071121658,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Monocytes,Monocytes,TGFB1,ACVR1_TGFbR,0.007584406543260164,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
NKTcells,Monocytes,TGFB1,ACVR1_TGFbR,0.012990510964355566,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Monocytes,TGFB1,ACVR1_TGFbR,0.0013978452555568688,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Bcells,Monocytes,TGFB1,ACVR1_TGFbR,0.007760531687365249,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Microglia,Endothelial,TGFB1,ACVR1_TGFbR,0.006430480565462773,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Monocytes,Endothelial,TGFB1,ACVR1_TGFbR,0.005806792102124189,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
NKTcells,Endothelial,TGFB1,ACVR1_TGFbR,0.009958541740133747,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Endothelial,TGFB1,ACVR1_TGFbR,0.0010686603529145018,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Bcells,Endothelial,TGFB1,ACVR1_TGFbR,0.005941884624883972,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Astrocytes,Monocytes,TGFB2,ACVR1_TGFbR,0.005248356347323935,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Monocytes,TGFB2,ACVR1_TGFbR,5.112114622336933e-4,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Astrocytes,Endothelial,TGFB2,ACVR1_TGFbR,0.004016043912073987,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Endothelial,TGFB2,ACVR1_TGFbR,3.9074226225903954e-4,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
NeuralProgenitors,NeuralProgenitors,BMP2,BMPR1A_ACVR2A,7.324734842337991e-4,0,BMP2_BMPR1A_ACVR2A,BMP2 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Oligodendrocytes,BMP2,BMPR1A_BMPR2,3.692131395476731e-4,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Microglia,BMP2,BMPR1A_BMPR2,5.831039444912675e-4,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Astrocytes,BMP2,BMPR1A_BMPR2,0.0018331270706055745,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,NeuralProgenitors,BMP2,BMPR1A_BMPR2,0.001732182014156889,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Endothelial,BMP2,BMPR1A_BMPR2,5.692661297899892e-4,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Astrocytes,BMP2,BMPR1B_BMPR2,0.002528036930028123,0,BMP2_BMPR1B_BMPR2,BMP2 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Monocytes,BMP6,ACVR1_ACVR2A,8.015323090261968e-4,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,NeuralProgenitors,BMP6,ACVR1_ACVR2A,9.416369244977063e-4,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Oligodendrocytes,BMP6,ACVR1_BMPR2,5.496778912271832e-4,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Astrocytes,BMP6,ACVR1_BMPR2,0.0015644086344937546,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Monocytes,BMP6,ACVR1_BMPR2,0.0013881121342634755,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,NeuralProgenitors,BMP6,ACVR1_BMPR2,0.0022260534097678706,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Endothelial,BMP6,ACVR1_BMPR2,0.002519125276983592,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,NeuralProgenitors,BMP6,BMPR1A_ACVR2A,0.0016821923138674916,0,BMP6_BMPR1A_ACVR2A,BMP6 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Oligodendrocytes,BMP6,BMPR1A_BMPR2,8.483506706457e-4,0,BMP6_BMPR1A_BMPR2,BMP6 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Microglia,BMP6,BMPR1A_BMPR2,0.0013394110885898598,0,BMP6_BMPR1A_BMPR2,BMP6 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Astrocytes,BMP6,BMPR1A_BMPR2,0.004203186749192506,0,BMP6_BMPR1A_BMPR2,BMP6 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,NeuralProgenitors,BMP6,BMPR1A_BMPR2,0.003972545060851819,0,BMP6_BMPR1A_BMPR2,BMP6 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Endothelial,BMP6,BMPR1A_BMPR2,0.0013076233812743677,0,BMP6_BMPR1A_BMPR2,BMP6 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Endothelial,Astrocytes,BMP6,BMPR1B_BMPR2,0.005790774612730068,0,BMP6_BMPR1B_BMPR2,BMP6 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Monocytes,BMP7,ACVR1_ACVR2A,0.0023667461305933667,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Monocytes,BMP7,ACVR1_ACVR2A,0.0018511817317326835,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,NeuralProgenitors,BMP7,ACVR1_ACVR2A,0.0027796717414421248,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,NeuralProgenitors,BMP7,ACVR1_ACVR2A,0.0021743754608263216,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Oligodendrocytes,BMP7,ACVR1_BMPR2,0.0016238337266513546,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Oligodendrocytes,BMP7,ACVR1_BMPR2,0.0012698884926357322,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Astrocytes,BMP7,ACVR1_BMPR2,0.00461201780758703,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Astrocytes,BMP7,ACVR1_BMPR2,0.003609423972378235,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Monocytes,BMP7,ACVR1_BMPR2,0.004094024635387515,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Monocytes,BMP7,ACVR1_BMPR2,0.0032035420841315886,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,NeuralProgenitors,BMP7,ACVR1_BMPR2,0.006554528608500124,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,NeuralProgenitors,BMP7,ACVR1_BMPR2,0.005131941461270639,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Endothelial,BMP7,ACVR1_BMPR2,0.007411490208972858,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Endothelial,BMP7,ACVR1_BMPR2,0.005804598915666245,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,NeuralProgenitors,BMP7,BMPR1A_ACVR2A,0.004958481703541433,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,NeuralProgenitors,BMP7,BMPR1A_ACVR2A,0.0038807897379325293,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Oligodendrocytes,BMP7,BMPR1A_BMPR2,0.0025046310527463028,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Oligodendrocytes,BMP7,BMPR1A_BMPR2,0.0019591319296870667,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Microglia,BMP7,BMPR1A_BMPR2,0.003950568543274492,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Microglia,BMP7,BMPR1A_BMPR2,0.003091237825572396,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Astrocytes,BMP7,BMPR1A_BMPR2,0.012325392068863659,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Astrocytes,BMP7,BMPR1A_BMPR2,0.00966461474394657,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,NeuralProgenitors,BMP7,BMPR1A_BMPR2,0.011656759422074456,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,NeuralProgenitors,BMP7,BMPR1A_BMPR2,0.009138148819739048,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Endothelial,BMP7,BMPR1A_BMPR2,0.003856794643797657,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Endothelial,BMP7,BMPR1A_BMPR2,0.0030178664051267383,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Astrocytes,Astrocytes,BMP7,BMPR1B_BMPR2,0.016926596212979778,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
NeuralProgenitors,Astrocytes,BMP7,BMPR1B_BMPR2,0.01328781047903843,0,BMP7_BMPR1B_BMPR2,BMP7 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
Microglia,Monocytes,INHBA,ACVR1B_ACVR2A,5.325116607208315e-4,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
NeuralProgenitors,Monocytes,INHBA,ACVR1B_ACVR2A,0.003119493496296559,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
Microglia,NeuralProgenitors,INHBA,ACVR1B_ACVR2A,5.02295676037112e-4,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
NeuralProgenitors,NeuralProgenitors,INHBA,ACVR1B_ACVR2A,0.00294291820331036,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
Microglia,Astrocytes,WNT2B,FZD3_LRP6,2.805081519228252e-4,0,WNT2B_FZD3_LRP6,WNT2B - (FZD3+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Endothelial,Astrocytes,WNT2B,FZD3_LRP6,2.8880797095531536e-4,0,WNT2B_FZD3_LRP6,WNT2B - (FZD3+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Microglia,NeuralProgenitors,WNT2B,FZD3_LRP6,8.994795991889303e-4,0,WNT2B_FZD3_LRP6,WNT2B - (FZD3+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Endothelial,NeuralProgenitors,WNT2B,FZD3_LRP6,9.260115713052046e-4,0,WNT2B_FZD3_LRP6,WNT2B - (FZD3+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Microglia,Astrocytes,WNT2B,FZD6_LRP6,2.1741004824509162e-4,0,WNT2B_FZD6_LRP6,WNT2B - (FZD6+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Endothelial,Astrocytes,WNT2B,FZD6_LRP6,2.2384619620754298e-4,0,WNT2B_FZD6_LRP6,WNT2B - (FZD6+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Microglia,Endothelial,WNT2B,FZD6_LRP6,3.0948940523023595e-4,0,WNT2B_FZD6_LRP6,WNT2B - (FZD6+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Endothelial,Endothelial,WNT2B,FZD6_LRP6,3.1864785291022994e-4,0,WNT2B_FZD6_LRP6,WNT2B - (FZD6+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
Microglia,Astrocytes,WNT5A,FZD3,3.662988987389304e-4,0,WNT5A_FZD3,WNT5A - FZD3,ncWNT,Secreted Signaling,KEGG: hsa04310
Microglia,NeuralProgenitors,WNT5A,FZD3,4.0489380671191176e-4,0,WNT5A_FZD3,WNT5A - FZD3,ncWNT,Secreted Signaling,KEGG: hsa04310
Microglia,Astrocytes,WNT5A,FZD6,2.2003424011202288e-4,0,WNT5A_FZD6,WNT5A - FZD6,ncWNT,Secreted Signaling,KEGG: hsa04310
Microglia,Endothelial,WNT5A,FZD6,2.8118996605728044e-4,0,WNT5A_FZD6,WNT5A - FZD6,ncWNT,Secreted Signaling,KEGG: hsa04310
Microglia,Oligodendrocytes,WNT5A,MCAM,0.0018077323965372313,0,WNT5A_MCAM,WNT5A - MCAM,ncWNT,Secreted Signaling,PMID: 24335906
Microglia,NeuralProgenitors,WNT5A,MCAM,4.998987915924066e-4,0,WNT5A_MCAM,WNT5A - MCAM,ncWNT,Secreted Signaling,PMID: 24335906
Microglia,Endothelial,WNT5A,MCAM,0.0012566384996093123,0,WNT5A_MCAM,WNT5A - MCAM,ncWNT,Secreted Signaling,PMID: 24335906
Oligodendrocytes,Astrocytes,TGFA,EGFR,0.002631275935003821,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NeuralProgenitors,Astrocytes,TGFA,EGFR,0.0031675591900814882,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Oligodendrocytes,NeuralProgenitors,TGFA,EGFR,7.545934468359667e-4,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NeuralProgenitors,NeuralProgenitors,TGFA,EGFR,9.087364692878904e-4,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Oligodendrocytes,Endothelial,TGFA,EGFR,0.0013600600998969242,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NeuralProgenitors,Endothelial,TGFA,EGFR,0.001637680874021269,0,TGFA_EGFR,TGFA - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Monocytes,Astrocytes,AREG,EGFR,0.00894649516565413,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NKTcells,Astrocytes,AREG,EGFR,0.00537944624365312,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Bcells,Astrocytes,AREG,EGFR,0.005849009506642823,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Monocytes,NeuralProgenitors,AREG,EGFR,0.0025773019198172486,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NKTcells,NeuralProgenitors,AREG,EGFR,0.00154574743208211,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Bcells,NeuralProgenitors,AREG,EGFR,0.0016812389027448975,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
Monocytes,Endothelial,AREG,EGFR,0.004638474777227966,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
NKTcells,Endothelial,AREG,EGFR,0.002784247207293959,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
